importer,exporter,isic4_2,date_eff,tariffs,importsvaluein1000usd,affected_trade_value,affected_trade_share,affected_hs6tariff_line_share
Cambodia,Uganda,88,4/4/25,0,0,0,0,0
Cambodia,Uganda,90,1/1/25,0,0,0,0,0
Cambodia,Uganda,90,4/4/25,0,0,0,0,0
Cambodia,Uganda,91,1/1/25,0,0,0,0,0
Cambodia,Uganda,91,4/4/25,0,0,0,0,0
Cambodia,Uganda,92,1/1/25,0,0,0,0,0
Cambodia,Uganda,92,4/4/25,0,0,0,0,0
Cambodia,Uganda,93,1/1/25,0,0,0,0,0
Cambodia,Uganda,93,4/4/25,0,0,0,0,0
Cambodia,Uganda,94,1/1/25,0,0,0,0,0
Cambodia,Uganda,94,4/4/25,0,0,0,0,0
Cambodia,Uganda,95,1/1/25,15,.0007475,.0007475,100,100
Cambodia,Uganda,95,4/4/25,15,.0007475,.0007475,100,100
Cambodia,Uganda,96,1/1/25,0,0,0,0,0
Cambodia,Uganda,96,4/4/25,0,0,0,0,0
Cambodia,Uganda,97,1/1/25,0,0,0,0,0
Cambodia,Uganda,97,4/4/25,0,0,0,0,0
Cambodia,Uganda,98,1/1/25,0,0,0,0,0
Cambodia,Uganda,98,4/4/25,0,0,0,0,0
Cambodia,Uganda,99,1/1/25,0,0,0,0,0
Cambodia,Uganda,99,4/4/25,0,0,0,0,0
Cambodia,Ukraine,01,1/1/25,15,.7879750000000001,0,0,0
Cambodia,Ukraine,01,4/4/25,15,.7879750000000001,0,0,0
Cambodia,Ukraine,02,1/1/25,0,0,0,0,0
Cambodia,Ukraine,02,4/4/25,0,0,0,0,0
Cambodia,Ukraine,03,1/1/25,0,0,0,0,0
Cambodia,Ukraine,03,4/4/25,0,0,0,0,0
Cambodia,Ukraine,05,1/1/25,0,0,0,0,0
Cambodia,Ukraine,05,4/4/25,0,0,0,0,0
Cambodia,Ukraine,06,1/1/25,0,0,0,0,0
Cambodia,Ukraine,06,4/4/25,0,0,0,0,0
Cambodia,Ukraine,07,1/1/25,0,0,0,0,0
Cambodia,Ukraine,07,4/4/25,0,0,0,0,0
Cambodia,Ukraine,08,1/1/25,0,0,0,0,0
Cambodia,Ukraine,08,4/4/25,0,0,0,0,0
Cambodia,Ukraine,09,1/1/25,0,0,0,0,0
Cambodia,Ukraine,09,4/4/25,0,0,0,0,0
Cambodia,Ukraine,10,1/1/25,.0479344130861764,1834.540193452381,.0003125,.0000170342411202,20
Cambodia,Ukraine,10,4/4/25,.0479344130861764,1834.540193452381,.0003125,.0000170342411202,20
Cambodia,Ukraine,11,1/1/25,0,0,0,0,0
Cambodia,Ukraine,11,4/4/25,0,0,0,0,0
Cambodia,Ukraine,12,1/1/25,0,0,0,0,0
Cambodia,Ukraine,12,4/4/25,0,0,0,0,0
Cambodia,Ukraine,13,1/1/25,14.0734799517137,1.648213675213675,.0007692307692308,.0466705731664947,8.333333333333332
Cambodia,Ukraine,13,4/4/25,14.07347995171369,1.648213675213675,.0007692307692308,.0466705731664947,8.333333333333332
Cambodia,Ukraine,14,1/1/25,14.30475064446727,2.866277777777777,0,0,0
Cambodia,Ukraine,14,4/4/25,14.30475064446727,2.866277777777777,0,0,0
Cambodia,Ukraine,15,1/1/25,12.48187079261302,2.783610897435898,.0007692307692308,.0276342778345688,7.142857142857142
Cambodia,Ukraine,15,4/4/25,12.48187079261302,2.783610897435898,.0007692307692308,.0276342778345688,7.142857142857142
Cambodia,Ukraine,16,1/1/25,12.98500227695678,.3821733974358975,.0004567307692308,.1195087811697771,12.5
Cambodia,Ukraine,16,4/4/25,12.98500227695678,.3821733974358975,.0004567307692308,.1195087811697771,12.5
Cambodia,Ukraine,17,1/1/25,14.08813236441299,.4387803418803419,.0001442307692308,.0328708366041845,16.66666666666666
Cambodia,Ukraine,17,4/4/25,14.08813236441299,.4387803418803419,.0001442307692308,.0328708366041845,16.66666666666666
Cambodia,Ukraine,18,1/1/25,15.21102491838045,.7963777777777779,0,0,0
Cambodia,Ukraine,18,4/4/25,15.21102491838045,.7963777777777779,0,0,0
Cambodia,Ukraine,19,1/1/25,0,0,0,0,0
Cambodia,Ukraine,19,4/4/25,0,0,0,0,0
Cambodia,Ukraine,20,1/1/25,13.33844516282065,.3548549450549451,.0007692307692308,.2167732984844449,16.66666666666666
Cambodia,Ukraine,20,4/4/25,13.33844516282065,.3548549450549451,.0007692307692308,.2167732984844449,16.66666666666666
Cambodia,Ukraine,21,1/1/25,15,.11815,0,0,0
Cambodia,Ukraine,21,4/4/25,15,.11815,0,0,0
Cambodia,Ukraine,22,1/1/25,13.29248692240231,.8629570726495728,.0016426282051282,.1903487736747757,11.11111111111111
Cambodia,Ukraine,22,4/4/25,13.29248692240231,.8629570726495727,.0016426282051282,.1903487736747757,11.11111111111111
Cambodia,Ukraine,23,1/1/25,0,0,0,0,0
Cambodia,Ukraine,23,4/4/25,0,0,0,0,0
Cambodia,Ukraine,24,1/1/25,0,0,0,0,0
Cambodia,Ukraine,24,4/4/25,0,0,0,0,0
Cambodia,Ukraine,25,1/1/25,14.79540091483052,3.516218793706293,.0001442307692308,.0041018712910849,7.692307692307693
Cambodia,Ukraine,25,4/4/25,14.79540091483052,3.516218793706293,.0001442307692308,.0041018712910849,7.692307692307693
Cambodia,Ukraine,26,1/1/25,15.00939528247626,1.984061772394273,.0009375,.0472515530032449,10
Cambodia,Ukraine,26,4/4/25,15.00939528247626,1.984061772394273,.0009375,.0472515530032449,10
Cambodia,Ukraine,27,1/1/25,18.96186658006966,3.632999070374071,.00125,.0344068351184933,10
Cambodia,Ukraine,27,4/4/25,18.96186658006966,3.632999070374071,.00125,.0344068351184933,10
Cambodia,Ukraine,28,1/1/25,16.47744179703138,18.88179938283938,.0012900641025641,.0068323154822658,6.666666666666667
Cambodia,Ukraine,28,4/4/25,16.47744179703137,18.88179938283939,.0012900641025641,.0068323154822658,6.666666666666667
Cambodia,Ukraine,29,1/1/25,14.99965176532108,1.889228088578089,.0008333333333333,.0441097259971682,12.5
Cambodia,Ukraine,29,4/4/25,14.99965176532107,1.889228088578089,.0008333333333333,.0441097259971682,12.5
Cambodia,Ukraine,30,1/1/25,14.80318852686656,2.889356806526807,.0007692307692308,.0266229067830302,10
Cambodia,Ukraine,30,4/4/25,14.80318852686656,2.889356806526807,.0007692307692308,.0266229067830302,10
Cambodia,Ukraine,31,1/1/25,14.99973917423537,.6305883333333334,.0002083333333333,.033037930186889,33.33333333333333
Cambodia,Ukraine,31,4/4/25,14.99973917423537,.6305883333333334,.0002083333333333,.033037930186889,33.33333333333333
Cambodia,Ukraine,32,1/1/25,13.83362995141492,6.181015625763125,.0009134615384615,.0147785023330815,6.25
Cambodia,Ukraine,32,4/4/25,13.83362995141492,6.181015625763125,.0009134615384615,.0147785023330815,6.25
Cambodia,Ukraine,33,1/1/25,14.98400455581154,27.40251302697303,.0017067307692308,.0062283731698286,7.692307692307693
Cambodia,Ukraine,33,4/4/25,14.98400455581154,27.40251302697303,.0017067307692308,.0062283731698286,7.692307692307693
Cambodia,Ukraine,35,1/1/25,7.000000000000001,.0015714285714286,0,0,0
Cambodia,Ukraine,35,4/4/25,7.000000000000001,.0015714285714286,0,0,0
Cambodia,Ukraine,36,1/1/25,0,0,0,0,0
Cambodia,Ukraine,36,4/4/25,0,0,0,0,0
Cambodia,Ukraine,37,1/1/25,0,0,0,0,0
