exporter
Afghanistan
Albania
Algeria
Andorra
Angola
Anguila
Antarctica
Antigua and Barbuda
Argentina
Armenia
Aruba
Australia
Austria
Azerbaijan
"Bahamas, The"
Bahrain
Bangladesh
Barbados
Belarus
Belgium
Belize
Benin
Bermuda
Bhutan
Bolivia
Bonaire
Bosnia and Herzegovina
Botswana
Bouvet Island
Brazil
British Indian Ocean Ter.
British Virgin Islands
Brunei
Bulgaria
Bunkers
Burkina Faso
Burundi
Cambodia
Cameroon
Canada
Cape Verde
Cayman Islands
Central African Republic
Chad
Chile
China
Christmas Island
Cocos (Keeling) Islands
Colombia
Comoros
"Congo, Dem. Rep."
"Congo, Rep."
Cook Islands
Costa Rica
Cote d'Ivoire
Croatia
Cuba
Cura̤ao
Cyprus
Czech Republic
Denmark
Djibouti
Dominica
Dominican Republic
East Timor
Ecuador
"Egypt, Arab Rep."
El Salvador
Equatorial Guinea
Eritrea
Estonia
Eswatini
Ethiopia(excludes Eritrea)
Faeroe Islands
Falkland Island
Fiji
Finland
Fr. So. Ant. Tr
France
Free Zones
French Polynesia
Gabon
"Gambia, The"
Georgia
Germany
Ghana
Gibraltar
Greece
Greenland
Grenada
Guatemala
Guinea
Guinea-Bissau
Guyana
Haiti
Heard Island and McDonald Isla
Honduras
"Hong Kong, China"
Hungary
Iceland
India
Indonesia
"Iran, Islamic Rep."
Iraq
Ireland
Israel
Italy
Jamaica
Japan
Jordan
Kazakhstan
Kenya
Kiribati
"Korea, Dem. Rep."
"Korea, Rep."
Kuwait
Kyrgyz Republic
Lao PDR
Latvia
Lebanon
Lesotho
Liberia
Libya
Lithuania
Luxembourg
Macao
Madagascar
Malawi
Malaysia
Maldives
Mali
Malta
Marshall Islands
Mauritania
Mauritius
Mexico
"Micronesia, Fed. Sts."
Moldova
Mongolia
Montenegro
Montserrat
Morocco
Mozambique
Myanmar
Namibia
Nauru
Nepal
Netherlands
New Caledonia
New Zealand
Nicaragua
Niger
Nigeria
Niue
Norfolk Island
North Macedonia
Northern Mariana Islands
Norway
Occ.Pal.Terr
Oman
Pakistan
Palau
Panama
Papua New Guinea
Paraguay
Peru
Philippines
Pitcairn
Poland
Portugal
Qatar
Romania
Russian Federation
Rwanda
Saint Barth̩lemy
Saint Helena
Saint Maarten (Dutch part)
Saint Pierre and Miquelon
Samoa
Sao Tome and Principe
Saudi Arabia
Senegal
"Serbia, FR(Serbia/Montenegro)"
Seychelles
Sierra Leone
Singapore
Slovak Republic
Slovenia
Solomon Islands
Somalia
South Africa
South Georgia and the South Sa
South Sudan
Spain
Special Categories
Sri Lanka
St. Kitts and Nevis
St. Lucia
St. Vincent and the Grenadines
Sudan
Suriname
Sweden
Switzerland
Syrian Arab Republic
"Taiwan, China"
Tajikistan
Tanzania
Thailand
Togo
Tokelau
Tonga
Trinidad and Tobago
Tunisia
Turkey
Turkmenistan
Turks and Caicos Isl.
Tuvalu
Uganda
Ukraine
United Arab Emirates
United Kingdom
United States
United States Minor Outlying I
Unspecified
Uruguay
Uzbekistan
Vanuatu
Venezuela
Vietnam
Wallis and Futura Isl.
Western Sahara
Yemen
Zambia
Zimbabwe
